job_id,skill_id
9715,186
9777,1
9777,0
9777,9
9801,0
9801,1
9807,0
9854,0
9854,1
9854,20
9856,0
9856,1
9883,0
10022,0
10022,1
10022,4
10022,6
10031,0
10031,1
10041,1
10096,0
10096,1
10096,5
10121,0
10128,1
10133,0
10135,1
10135,2
10135,10
10135,11
10135,9
10135,4
10135,14
10189,0
10197,0
10197,1
10197,5
10204,0
10204,1
10204,5
10210,0
10210,3
10210,4
10216,0
10216,1
10259,1
10259,0
10259,5
10259,4
10259,15
10276,0
10276,1
10276,4
10276,3
10276,17
10276,2
10300,0
10300,1
10300,5
10339,1
10352,0
10352,2
10352,1
10361,1
10361,0
10402,1
10436,1
10436,4
10436,3
10436,0
10436,2
10436,18
10436,62
10453,1
10453,0
10467,1
10467,4
10467,3
10486,0
10490,1
10490,0
10549,5
10549,1
10588,1
10588,0
10604,0
10604,1
10659,0
10716,1
10716,0
10718,0
10718,1
10718,4
10718,26
10746,1
10842,2
10842,6
10842,0
10842,3
10842,4
10842,1
10870,0
10877,0
10877,5
10877,1
10877,20
10900,0
10900,6
10900,28
10909,0
10914,7
10914,186
10914,5
10914,0
10919,1
10919,4
10919,5
10919,29
10919,15
10919,3
10919,0
10919,18
10919,62
10919,14
10919,9
10929,8
10974,1
10974,0
10974,5
11007,3
11007,1
11007,0
11007,8
11040,22
11040,0
11046,0
11088,0
11088,2
11088,6
11090,0
11122,0
11122,1
11134,5
11134,1
11214,0
11214,1
11214,3
11214,4
11214,21
11232,1
11232,5
11232,4
11232,9
11232,0
11232,18
11232,62
11254,1
11254,3
11254,4
11262,0
11315,0
11315,1
11315,5
11315,9
11326,37
11326,1
11326,5
11326,7
11326,186
11326,0
11358,21
11359,8
11359,1
11359,6
11359,0
11373,1
11373,0
11373,7
11373,186
11373,6
11373,8
11419,0
11465,0
11476,0
11476,1
11477,6
11477,1
11477,0
11477,38
11519,0
11519,1
11525,7
11525,186
11538,8
11538,5
11538,1
11538,38
11543,8
11543,0
11543,5
11543,7
11543,186
11543,1
11580,0
11596,1
11596,4
11596,3
11596,26
11625,1
11634,9
11680,0
11680,1
11680,5
11710,0
11710,18
11710,62
11710,1
11710,5
11719,0
11719,8
11831,0
11831,1
11831,5
11853,1
11853,18
11853,62
11853,28
11895,0
11895,1
11925,0
11925,1
11925,5
11936,13
11936,4
11936,1
11936,2
11936,18
11936,62
11936,6
11936,0
11936,3
11984,0
11996,1
11996,5
11996,0
12000,1
12000,4
12000,3
12000,2
12000,18
12000,62
12002,1
12002,0
12002,5
12002,9
12014,2
12014,6
12014,0
12014,18
12014,62
12039,30
12039,144
12039,4
12068,0
12068,1
12068,4
12068,3
12080,1
12080,3
12080,5
12087,0
12094,5
12094,1
12094,0
12122,0
12137,5
12137,1
12162,4
12162,1
12162,0
12162,6
12174,0
12174,1
12174,4
12179,1
12224,0
12224,7
12224,186
12249,1
12249,5
12275,1
12285,0
12285,1
12297,0
12312,1
12312,13
12312,29
12312,8
12312,5
12386,0
12386,2
12386,1
12386,3
12386,4
12391,1
12391,25
12391,9
12391,18
12391,62
12436,1
12436,0
12460,1
12460,3
12460,4
12460,0
12471,0
12474,1
12474,4
12474,3
12474,8
12506,1
12506,0
12528,1
12544,1
12544,0
12546,0
12546,1
12546,5
12546,8
12590,1
12600,1
12600,0
12621,0
12621,1
12621,5
12646,1
12646,0
12646,5
12646,7
12646,186
12727,1
12727,0
12733,1
12733,0
12744,0
12744,1
12750,4
12750,3
12750,1
12766,5
12766,4
12766,14
12766,13
12766,8
12768,4
12805,0
12805,5
12805,1
12819,1
12819,0
12819,2
12824,5
12824,1
12824,3
12824,0
12824,6
12824,2
12824,18
12824,62
12833,0
12853,5
12853,1
12853,4
12853,13
12853,15
12853,22
12853,0
12952,1
12952,9
12952,10
12952,11
12971,0
12971,1
12971,4
12971,3
12971,26
13030,0
13030,5
13030,1
13068,0
13068,2
13068,1
13068,4
13068,3
13101,4
13101,1
13157,0
13193,9
13195,1
13195,5
13195,15
13195,0
13197,4
13197,1
13242,0
13242,20
13242,1
13368,1
13368,5
13368,0
13368,7
13368,186
13409,4
13409,1
13409,0
13429,1
13486,1
13486,5
13486,0
13492,1
13500,1
13500,6
13500,0
13517,10
13595,0
13595,1
13617,1
13617,39
13617,8
13617,31
13622,4
13622,3
13622,12
13622,0
13622,1
13653,1
13653,4
13655,0
13655,1
13655,30
13655,144
13655,4
13735,0
13761,5
13761,3
13761,1
13761,0
13765,0
13767,26
13767,8
13805,0
13808,1
13808,5
13808,4
13808,9
13808,13
13808,0
13808,2
13825,1
13825,4
13825,0
13825,2
13910,4
13910,1
13910,0
13923,1
13923,0
13942,1
13942,4
13942,0
13949,3
13949,0
13949,1
13949,5
13949,8
13967,4
13967,1
13967,0
14026,0
14027,0
14027,1
14032,1
14032,4
14032,0
14038,0
14050,1
14050,4
14050,26
14050,6
14152,0
14152,21
14152,7
14152,186
14166,1
14166,0
14198,0
14198,1
14198,5
14198,25
14232,1
14235,0
14235,1
14244,1
14244,0
14246,0
14246,1
14246,5
14252,7
14252,186
14252,5
14252,0
14255,0
14274,1
14274,4
14274,3
14274,0
14274,2
14274,24
14274,6
14275,0
14275,1
14275,5
14275,7
14275,186
14275,15
14302,2
14302,0
14302,1
14302,5
14302,7
14302,186
14302,15
14351,7
14351,186
14351,1
14359,1
14409,4
14409,1
14409,3
14461,0
14461,16
14469,2
14469,0
14469,1
14469,3
14475,0
14475,1
14475,14
14478,14
14478,0
14485,1
14485,0
14485,3
14485,5
14490,0
14526,0
14537,0
14617,0
14617,1
14617,5
14617,3
14617,4
14617,12
14655,8
14655,1
14655,4
14655,0
14655,12
14655,6
14666,0
14666,1
14666,5
14668,1
14668,5
14668,0
14670,1
14672,0
14672,1
14672,3
14672,14
14742,1
14742,0
14742,2
14757,1
14757,5
14757,0
14760,7
14760,186
14760,5
14760,0
14760,22
14760,1
14819,4
14819,3
14819,1
14819,6
14819,0
14864,1
14864,5
14868,22
14868,1
14868,5
14868,31
14868,13
14868,0
14872,1
14872,0
14901,0
14901,1
14901,4
14908,5
14908,1
14908,8
14951,0
14951,1
14997,1
15029,1
15029,9
15066,0
15071,0
15071,1
15071,5
15071,4
15071,13
15075,4
15075,3
15075,1
15075,2
15075,0
15075,24
15075,6
15103,0
15103,5
15103,25
15103,4
15103,30
15103,144
15103,40
15103,15
15117,1
15127,0
15225,0
15225,1
15225,26
15235,1
15235,0
15272,0
15272,4
15355,7
15355,186
15355,5
15355,0
15355,26
15376,0
15376,4
15376,13
15376,1
15376,8
15376,9
15431,1
15431,26
15474,0
15474,22
15474,5
15474,4
15474,3
15474,7
15474,186
15474,1
15474,31
15500,2
15500,9
15500,0
15523,8
15523,1
15537,1
15537,4
15537,5
15537,0
15537,31
15544,1
15544,13
15641,0
15641,3
15641,4
15700,0
15700,1
15711,1
15711,0
15711,7
15711,186
15711,5
15723,5
15723,1
15752,0
15753,1
15823,5
15826,0
15826,14
15845,0
15845,5
15858,13
15858,14
15858,4
15858,1
15858,15
15866,5
15866,1
15866,0
15887,1
15887,2
15887,0
15887,18
15887,62
15917,22
15917,0
15920,1
15920,4
15920,8
15971,13
15971,1
16007,1
16007,5
16007,0
16068,0
16068,1
16068,4
16078,1
16078,0
16195,0
16195,4
16195,1
16232,0
16232,1
16249,0
16249,2
16249,4
16249,3
16256,8
16256,6
16256,1
16279,1
16283,0
16283,1
16283,31
16283,6
16300,0
16332,1
16332,5
16332,0
16357,2
16357,6
16357,0
16357,3
16357,4
16357,1
16399,0
16399,1
16403,8
16455,0
16455,1
16455,6
16460,1
16460,4
16474,1
16474,5
16474,15
16474,0
16481,0
16509,0
16512,0
16512,7
16512,186
16512,5
16512,1
16518,1
16518,5
16518,0
16594,1
16594,9
16614,0
16614,1
16616,1
16620,0
16623,0
16623,1
16623,3
16623,2
16623,4
16635,0
16674,13
16674,4
16674,1
16674,0
16674,3
16674,2
16674,18
16674,62
16674,6
16678,7
16678,186
16678,0
16678,1
16678,5
16688,1
16688,0
16710,0
16710,1
16710,5
16721,1
16765,0
16766,1
16831,7
16831,186
16831,5
16831,15
16837,0
16837,1
16894,0
16894,2
16894,1
16894,5
16894,4
16894,13
16894,3
16898,1
16898,0
16904,14
16904,13
16904,1
16910,0
16910,1
16927,1
16927,0
16927,3
16939,0
16939,5
16948,1
16948,0
16972,1
16972,0
16976,0
16976,5
16979,1
16979,5
17168,0
17168,2
17168,18
17168,62
17168,1
17168,4
17227,0
17333,36
17333,15
17333,1
17333,8
17343,0
17463,1
17463,4
17463,3
17463,2
17468,1
17468,0
17468,10
17468,11
17475,0
17475,1
17482,0
17482,18
17482,62
17515,0
17515,5
17515,1
17541,0
17541,5
17541,1
17541,4
17541,20
17541,10
17541,11
17541,9
17596,0
17605,1
17605,0
17644,1
17662,13
17733,1
17733,0
17741,13
17741,4
17741,1
17741,0
17741,3
17741,2
17741,18
17741,62
17741,6
17743,22
